"Tabela 3419 - Índices de volume e de receita nominal de vendas no comércio varejista ampliado, por tipos de índice e atividades (2014 = 100)"
"Variável - Índice de volume de vendas no comércio varejista ampliado (Número-índice)"
"Brasil e Unidade da Federação","Mês","Atividades x Tipos de índice"
"Brasil e Unidade da Federação","Mês","Combustíveis e lubrificantes","Hipermercados, supermercados, produtos alimentícios, bebidas e fumo","Hipermercados e supermercados","Tecidos, vestuário e calçados","Móveis e eletrodomésticos","Móveis","Eletrodomésticos","Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos","Livros, jornais, revistas e papelaria","Equipamentos e materiais para escritório, informática e comunicação","Outros artigos de uso pessoal e doméstico","Veículos, motocicletas, partes e peças","Material de construção"
"Brasil e Unidade da Federação","Mês","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)","Índice base fixa (2014=100)"
"Espírito Santo","junho 2017","65.7","79.6","80.9","78.7","79.4","73.3","81.7","118.7","50.9","93.6","51.8","79.3","74.1"
"Espírito Santo","julho 2017","65.7","83.3","85.0","90.0","79.1","82.1","76.4","118.8","55.8","94.4","56.4","74.8","66.1"
"Espírito Santo","agosto 2017","70.4","82.2","83.6","82.6","82.4","80.7","82.1","127.8","54.4","110.5","51.8","83.3","72.4"
"Espírito Santo","setembro 2017","67.4","85.1","86.6","76.4","78.7","78.7","77.1","123.7","51.9","89.3","50.8","72.8","71.7"
"Espírito Santo","outubro 2017","70.0","83.9","85.6","90.3","81.8","76.2","83.6","126.7","54.4","87.5","60.1","77.7","72.7"
"Espírito Santo","novembro 2017","67.0","81.5","82.9","90.5","112.2","105.5","114.7","122.8","62.7","105.4","66.0","83.8","79.7"
"Espírito Santo","dezembro 2017","68.8","107.3","110.4","115.6","113.4","110.1","113.5","137.0","84.7","120.0","88.6","75.1","68.7"
"Espírito Santo","janeiro 2018","68.0","81.0","82.7","59.1","89.0","84.1","90.7","127.4","110.4","93.7","53.3","81.8","52.2"
"Espírito Santo","fevereiro 2018","59.1","76.0","77.5","65.7","84.7","69.7","91.3","110.6","78.7","97.1","46.4","82.3","44.6"
"Espírito Santo","março 2018","64.2","91.9","94.1","91.8","97.4","82.1","104.2","131.8","63.3","111.5","56.7","97.8","57.5"
"Espírito Santo","abril 2018","65.3","81.1","82.5","85.7","97.8","86.0","102.6","125.3","50.2","107.5","51.3","86.3","57.6"
"Espírito Santo","maio 2018","69.9","85.2","87.1","94.6","98.0","72.2","110.9","131.5","48.1","110.4","50.1","77.7","74.3"
"Espírito Santo","junho 2018","63.9","83.5","85.3","90.6","102.2","85.2","110.1","124.6","52.0","104.5","52.4","86.5","79.6"
"Espírito Santo","julho 2018","68.5","84.4","86.2","90.8","97.9","88.8","101.4","131.8","51.6","94.6","53.8","92.7","63.0"
"Espírito Santo","agosto 2018","70.7","86.8","88.5","92.6","107.3","88.9","116.0","138.9","47.1","197.4","57.9","103.2","84.5"
"Espírito Santo","setembro 2018","69.7","84.4","86.1","78.9","97.0","78.3","105.9","131.3","42.1","103.3","52.0","92.9","79.9"
"Espírito Santo","outubro 2018","72.5","87.5","89.2","100.5","108.3","77.7","123.3","140.0","41.4","116.7","58.9","96.9","69.2"
"Espírito Santo","novembro 2018","68.3","87.6","89.3","114.1","130.2","115.4","136.3","134.6","33.4","143.8","71.9","101.2","66.4"
"Espírito Santo","dezembro 2018","72.8","110.3","113.5","123.1","121.2","112.8","124.1","144.9","47.0","209.5","95.2","87.1","62.1"
"Espírito Santo","janeiro 2019","73.2","90.0","92.1","70.3","91.7","92.3","89.3","138.6","70.1","138.0","57.7","97.5","61.8"
"Espírito Santo","fevereiro 2019","67.6","84.7","86.6","79.8","92.2","75.7","98.8","125.4","48.7","175.5","53.0","86.3","61.1"
"Espírito Santo","março 2019","72.3","92.1","94.5","88.1","109.1","76.9","123.8","137.6","30.8","178.2","50.6","83.7","60.9"
"Espírito Santo","abril 2019","70.8","87.5","89.6","91.2","99.5","80.1","107.2","132.8","30.1","200.2","56.4","91.3","63.7"
"Espírito Santo","maio 2019","73.0","88.2","89.6","105.5","110.9","88.3","120.4","137.6","29.0","203.1","51.9","99.2","65.4"
"Espírito Santo","junho 2019","67.4","81.0","81.8","91.2","96.0","86.6","99.1","142.9","27.1","176.9","52.5","92.3","56.1"
"Espírito Santo","julho 2019","68.6","87.0","88.4","101.4","95.7","84.1","99.6","149.5","29.3","148.6","59.2","100.6","62.8"
"Espírito Santo","agosto 2019","69.8","90.1","92.0","95.7","92.1","86.4","92.4","150.2","29.7","161.9","58.3","103.1","58.3"
"Espírito Santo","setembro 2019","68.0","84.2","85.8","89.5","102.6","86.8","108.7","145.4","25.2","184.5","54.5","98.2","55.1"
"Espírito Santo","outubro 2019","73.4","90.0","92.0","112.0","108.8","86.3","118.3","164.3","27.5","160.4","66.6","114.7","63.9"
"Espírito Santo","novembro 2019","67.0","94.2","96.7","117.2","135.5","130.1","134.4","151.2","25.6","186.1","73.8","106.6","60.6"
"Espírito Santo","dezembro 2019","72.5","106.2","110.1","134.1","133.0","137.5","128.1","162.5","39.6","220.0","97.2","99.0","62.9"
"Espírito Santo","janeiro 2020","67.4","89.2","92.3","84.4","114.8","104.1","114.2","146.7","74.7","150.6","62.8","108.0","68.7"
"Espírito Santo","fevereiro 2020","64.8","91.0","94.4","85.7","100.4","75.2","111.0","134.8","37.7","133.7","55.8","91.5","66.0"
"Espírito Santo","março 2020","57.4","100.3","104.7","62.2","79.5","56.8","90.2","157.7","17.9","225.9","40.2","85.1","72.4"
"Espírito Santo","abril 2020","43.8","95.9","100.7","11.2","59.0","30.4","73.0","125.0","8.3","104.1","26.8","48.8","65.6"
"Espírito Santo","maio 2020","48.1","97.4","102.0","72.7","115.6","81.2","128.8","141.9","13.7","128.1","29.1","70.9","88.7"
"Espírito Santo","junho 2020","53.3","92.1","96.2","104.7","109.4","90.4","108.6","141.3","21.3","181.9","41.6","77.5","106.8"
"Espírito Santo","julho 2020","63.4","100.7","105.3","112.9","97.1","104.7","84.8","152.2","23.2","167.1","56.2","91.9","122.7"
"Espírito Santo","agosto 2020","69.3","100.3","104.5","113.5","102.7","110.1","90.7","148.8","20.7","179.0","57.0","106.7","120.6"
"Espírito Santo","setembro 2020","73.1","94.9","99.5","107.9","122.7","89.9","123.7","154.2","23.2","209.5","59.3","120.3","117.2"
"Espírito Santo","outubro 2020","76.6","102.5","107.3","132.1","128.5","91.8","136.6","166.3","30.1","218.9","73.4","107.0","122.4"
"Espírito Santo","novembro 2020","71.8","93.0","97.1","143.7","142.4","104.6","149.1","168.7","27.1","246.3","84.2","107.9","115.3"
"Espírito Santo","dezembro 2020","77.8","118.4","124.8","164.3","140.2","105.3","144.9","183.1","36.9","286.5","102.7","99.9","102.0"
"Espírito Santo","janeiro 2021","75.9","93.0","97.8","89.8","102.6","65.5","109.7","169.1","41.9","192.1","65.8","101.4","90.2"
"Espírito Santo","fevereiro 2021","68.2","88.6","93.3","94.7","97.8","64.5","107.1","141.1","30.3","193.7","60.0","102.3","95.7"
"Espírito Santo","março 2021","70.3","103.0","108.7","86.8","88.9","59.3","96.9","181.8","18.4","221.3","58.8","123.8","106.9"
"Espírito Santo","abril 2021","65.4","96.7","101.9","90.9","84.3","59.6","90.3","169.3","15.8","232.6","50.3","107.8","106.7"
"Espírito Santo","maio 2021","71.6","95.8","100.4","142.9","98.5","75.4","102.7","166.3","22.4","231.4","63.0","119.3","105.6"
"Espírito Santo","junho 2021","73.7","94.5","98.9","134.2","96.2","74.6","98.7","168.2","21.7","272.1","68.0","126.1","97.5"
"Espírito Santo","julho 2021","77.9","101.8","106.6","142.6","99.3","83.6","97.7","196.1","24.3","292.7","84.5","122.4","100.3"
"Espírito Santo","agosto 2021","77.0","96.9","101.3","139.5","102.5","73.9","108.9","173.0","23.2","265.0","69.6","132.9","97.6"
"Rio de Janeiro","janeiro 2000","101.3","64.6","67.0","61.2","35.2","-","-","-","-","-","-","55.8","-"
"Rio de Janeiro","fevereiro 2000","96.2","65.8","68.4","68.3","32.3","-","-","-","-","-","-","61.5","-"
"Rio de Janeiro","março 2000","97.1","68.9","71.8","65.6","33.5","-","-","-","-","-","-","53.1","-"
"Rio de Janeiro","abril 2000","96.7","76.9","80.4","69.3","34.1","-","-","-","-","-","-","49.9","-"
"Rio de Janeiro","maio 2000","97.4","74.4","77.9","85.3","42.4","-","-","-","-","-","-","57.5","-"
"Rio de Janeiro","junho 2000","99.0","74.7","78.2","81.3","34.5","-","-","-","-","-","-","52.2","-"
"Rio de Janeiro","julho 2000","99.9","79.6","83.5","81.6","40.4","-","-","-","-","-","-","56.3","-"
"Rio de Janeiro","agosto 2000","96.7","79.2","82.7","77.5","41.0","-","-","-","-","-","-","57.8","-"
"Rio de Janeiro","setembro 2000","93.7","79.1","83.0","70.1","36.7","-","-","-","-","-","-","53.4","-"
"Rio de Janeiro","outubro 2000","97.4","76.5","80.3","73.0","38.4","-","-","-","-","-","-","58.8","-"
"Rio de Janeiro","novembro 2000","92.6","78.3","81.9","79.2","41.7","-","-","-","-","-","-","60.2","-"
"Rio de Janeiro","dezembro 2000","98.6","107.0","112.7","160.7","70.4","-","-","-","-","-","-","62.3","-"
"Rio de Janeiro","janeiro 2001","89.2","74.4","77.7","65.7","37.4","-","-","-","-","-","-","68.8","-"
"Rio de Janeiro","fevereiro 2001","87.3","74.7","78.3","62.0","30.4","-","-","-","-","-","-","54.2","-"
"Rio de Janeiro","março 2001","90.1","76.1","79.6","69.9","34.7","-","-","-","-","-","-","75.8","-"
"Rio de Janeiro","abril 2001","89.8","74.3","77.8","64.7","31.0","-","-","-","-","-","-","62.4","-"
"Rio de Janeiro","maio 2001","89.3","72.2","75.5","90.6","38.4","-","-","-","-","-","-","65.2","-"
"Rio de Janeiro","junho 2001","89.4","71.1","74.2","81.3","31.8","-","-","-","-","-","-","56.6","-"
"Rio de Janeiro","julho 2001","90.7","73.0","76.3","80.5","34.3","-","-","-","-","-","-","60.1","-"
"Rio de Janeiro","agosto 2001","94.8","73.8","77.2","81.4","37.5","-","-","-","-","-","-","57.8","-"
"Rio de Janeiro","setembro 2001","89.4","72.0","74.8","71.5","34.3","-","-","-","-","-","-","51.8","-"
"Rio de Janeiro","outubro 2001","94.6","72.5","75.4","77.9","38.2","-","-","-","-","-","-","56.8","-"
"Rio de Janeiro","novembro 2001","89.8","69.0","71.6","85.1","39.0","-","-","-","-","-","-","47.5","-"
"Rio de Janeiro","dezembro 2001","98.4","95.0","99.7","168.4","64.5","-","-","-","-","-","-","50.9","-"
"Rio de Janeiro","janeiro 2002","95.6","72.4","75.6","64.8","38.0","-","-","-","-","-","-","56.1","-"
"Rio de Janeiro","fevereiro 2002","81.3","65.4","68.1","58.5","28.9","-","-","-","-","-","-","43.9","-"
"Rio de Janeiro","março 2002","96.4","76.1","79.3","62.9","38.4","-","-","-","-","-","-","57.1","-"
"Rio de Janeiro","abril 2002","94.1","67.8","70.5","64.4","33.6","-","-","-","-","-","-","56.7","-"
"Rio de Janeiro","maio 2002","101.9","73.9","77.0","86.1","39.9","-","-","-","-","-","-","49.9","-"
"Rio de Janeiro","junho 2002","94.3","68.7","71.9","76.9","30.2","-","-","-","-","-","-","45.0","-"
"Rio de Janeiro","julho 2002","106.4","70.9","74.3","84.1","33.7","-","-","-","-","-","-","56.0","-"
"Rio de Janeiro","agosto 2002","116.3","71.8","75.5","80.3","33.3","-","-","-","-","-","-","54.5","-"
"Rio de Janeiro","setembro 2002","110.2","66.3","69.5","70.5","30.3","-","-","-","-","-","-","58.9","-"
"Rio de Janeiro","outubro 2002","118.6","69.8","73.1","81.2","34.7","-","-","-","-","-","-","60.5","-"
"Rio de Janeiro","novembro 2002","107.0","69.5","73.0","86.0","37.0","-","-","-","-","-","-","50.9","-"
"Rio de Janeiro","dezembro 2002","112.9","82.7","87.5","163.9","58.1","-","-","-","-","-","-","51.3","-"
"Rio de Janeiro","janeiro 2003","99.4","62.6","66.0","58.0","32.0","-","-","-","-","-","-","53.9","-"
"Rio de Janeiro","fevereiro 2003","91.1","60.5","63.7","60.7","29.8","-","-","-","-","-","-","57.3","-"
"Rio de Janeiro","março 2003","89.2","62.0","65.4","55.8","28.0","-","-","-","-","-","-","44.5","-"
"Rio de Janeiro","abril 2003","84.5","62.0","65.4","58.7","28.2","-","-","-","-","-","-","48.3","-"
"Rio de Janeiro","maio 2003","88.2","61.7","64.8","65.9","32.8","-","-","-","-","-","-","45.8","-"
"Rio de Janeiro","junho 2003","88.2","58.5","61.6","68.9","29.5","-","-","-","-","-","-","43.0","-"
"Rio de Janeiro","julho 2003","94.8","61.5","64.8","71.5","33.1","-","-","-","-","-","-","48.0","-"
"Rio de Janeiro","agosto 2003","91.4","61.7","65.1","69.1","33.6","-","-","-","-","-","-","44.7","-"
"Rio de Janeiro","setembro 2003","97.0","57.4","60.5","63.2","34.6","-","-","-","-","-","-","54.0","-"
"Rio de Janeiro","outubro 2003","99.6","61.5","64.9","68.7","37.1","-","-","-","-","-","-","54.1","-"
"Rio de Janeiro","novembro 2003","95.2","60.9","64.2","71.8","42.2","-","-","-","-","-","-","56.1","-"
"Rio de Janeiro","dezembro 2003","101.3","79.3","84.2","158.8","63.3","-","-","-","-","-","-","58.5","-"
"Rio de Janeiro","janeiro 2004","93.1","63.3","66.8","55.5","36.5","-","-","57.4","107.1","12.2","27.0","58.8","63.4"
"Rio de Janeiro","fevereiro 2004","84.0","62.0","65.6","52.3","30.6","-","-","54.8","86.9","9.1","25.6","46.8","53.5"
"Rio de Janeiro","março 2004","90.4","63.3","66.8","60.7","36.0","-","-","63.2","90.8","11.6","31.3","60.2","64.3"
"Rio de Janeiro","abril 2004","91.0","64.7","68.4","56.4","37.3","-","-","58.8","65.1","9.3","30.8","48.9","54.5"
"Rio de Janeiro","maio 2004","95.9","64.0","67.6","76.9","46.9","-","-","61.0","73.1","11.6","33.3","56.1","58.7"
"Rio de Janeiro","junho 2004","89.9","62.0","65.4","70.7","39.5","-","-","59.7","70.2","11.6","30.2","56.4","59.3"
"Rio de Janeiro","julho 2004","95.7","66.0","69.7","70.0","42.2","-","-","61.0","54.0","12.0","30.7","55.6","63.2"
"Rio de Janeiro","agosto 2004","95.3","63.9","67.7","67.1","43.4","-","-","59.4","67.5","12.7","34.1","60.2","61.9"
"Rio de Janeiro","setembro 2004","91.6","61.4","64.9","61.2","42.0","-","-","57.3","67.7","8.5","30.1","60.5","61.6"
"Rio de Janeiro","outubro 2004","93.2","67.2","71.1","66.3","44.4","-","-","57.3","65.0","8.3","33.5","57.5","58.3"
"Rio de Janeiro","novembro 2004","92.2","63.8","67.5","69.8","47.2","-","-","51.8","48.7","8.9","33.0","62.0","61.6"
"Rio de Janeiro","dezembro 2004","98.8","87.8","93.1","147.1","74.5","-","-","62.0","99.2","8.6","59.5","64.8","63.2"
"Rio de Janeiro","janeiro 2005","87.8","63.4","67.1","56.2","41.9","-","-","57.6","89.7","5.8","27.1","63.8","55.6"
"Rio de Janeiro","fevereiro 2005","78.3","60.8","63.2","51.4","35.1","-","-","53.4","108.1","12.6","26.8","50.5","49.4"
"Rio de Janeiro","março 2005","81.0","69.0","71.9","58.1","42.3","-","-","63.0","82.1","18.3","39.6","62.8","57.0"
"Rio de Janeiro","abril 2005","78.7","65.8","68.3","63.4","44.4","-","-","59.9","65.0","18.2","29.4","55.9","54.5"
"Rio de Janeiro","maio 2005","82.4","65.9","68.5","72.3","51.9","-","-","59.4","68.9","27.8","30.8","58.9","54.4"
"Rio de Janeiro","junho 2005","79.4","65.2","67.7","72.8","48.1","-","-","60.4","60.5","20.2","33.5","56.2","55.1"
"Rio de Janeiro","julho 2005","79.3","69.4","72.2","76.0","47.7","-","-","62.8","58.7","21.8","34.0","53.3","54.9"
"Rio de Janeiro","agosto 2005","79.4","68.6","71.0","71.4","45.9","-","-","62.8","73.4","25.3","33.9","62.2","59.1"
"Rio de Janeiro","setembro 2005","77.9","67.7","70.2","64.6","40.6","-","-","58.6","70.7","25.3","33.5","53.9","54.3"
"Rio de Janeiro","outubro 2005","79.7","68.7","71.1","70.1","46.1","-","-","60.6","61.9","19.9","37.7","54.3","55.4"
"Rio de Janeiro","novembro 2005","73.2","66.0","68.1","80.2","50.9","-","-","60.8","46.7","23.6","38.8","58.3","59.6"
"Rio de Janeiro","dezembro 2005","79.2","87.5","90.7","167.1","76.8","-","-","67.3","95.7","26.3","76.5","56.5","55.1"
"Rio de Janeiro","janeiro 2006","69.3","66.0","67.9","59.9","42.7","-","-","58.5","102.2","19.9","42.9","57.5","53.9"
"Rio de Janeiro","fevereiro 2006","67.7","67.4","70.5","53.4","39.3","-","-","52.7","103.0","25.8","32.2","52.4","47.5"
"Rio de Janeiro","março 2006","70.0","71.7","74.6","57.7","44.7","-","-","60.9","89.5","27.5","39.5","63.0","57.2"
"Rio de Janeiro","abril 2006","68.9","74.1","76.9","58.5","41.4","-","-","55.4","84.6","26.2","42.7","53.4","51.6"
"Rio de Janeiro","maio 2006","70.2","71.3","74.3","76.5","57.4","-","-","58.6","82.5","35.5","41.6","64.8","57.0"
"Rio de Janeiro","junho 2006","66.4","70.7","73.6","66.8","43.5","-","-","55.7","83.4","34.5","38.8","55.2","51.1"
"Rio de Janeiro","julho 2006","68.2","72.4","75.3","69.7","43.8","-","-","57.6","67.5","30.8","39.6","63.5","55.5"
"Rio de Janeiro","agosto 2006","69.9","73.2","76.0","69.5","47.1","-","-","57.8","80.6","42.5","45.9","69.5","58.5"
"Rio de Janeiro","setembro 2006","68.8","73.8","76.8","66.1","46.5","-","-","54.6","77.8","38.2","46.6","60.3","55.0"
"Rio de Janeiro","outubro 2006","69.6","74.2","77.4","70.4","51.3","-","-","56.7","72.1","40.0","46.4","63.1","58.8"
"Rio de Janeiro","novembro 2006","70.1","74.3","77.5","86.7","55.6","-","-","55.0","53.2","40.0","49.0","65.3","61.4"
"Rio de Janeiro","dezembro 2006","80.0","93.6","97.7","167.7","79.3","-","-","60.9","103.4","49.1","83.5","65.2","57.0"
"Rio de Janeiro","janeiro 2007","75.3","69.8","72.2","60.0","53.1","-","-","53.9","111.4","43.5","45.0","70.1","56.7"
"Rio de Janeiro","fevereiro 2007","68.5","68.8","71.2","56.8","45.1","-","-","50.5","94.3","37.1","41.2","56.9","45.0"
"Rio de Janeiro","março 2007","75.6","74.7","77.4","64.7","52.8","-","-","57.2","94.3","43.4","48.4","73.4","55.2"
"Rio de Janeiro","abril 2007","68.8","72.2","74.9","62.2","49.9","-","-","55.4","77.8","30.4","51.4","66.3","50.0"
"Rio de Janeiro","maio 2007","68.5","71.6","74.2","91.8","61.6","-","-","59.4","75.1","39.2","51.1","71.8","53.7"
"Rio de Janeiro","junho 2007","66.1","70.9","73.3","83.0","52.7","-","-","58.1","73.5","39.9","43.7","68.6","53.7"
"Rio de Janeiro","julho 2007","71.1","71.0","73.5","86.4","55.6","-","-","60.9","73.7","41.8","45.0","72.8","56.5"
"Rio de Janeiro","agosto 2007","72.0","71.5","73.8","84.5","57.9","-","-","64.3","85.7","48.9","54.2","79.6","58.0"
"Rio de Janeiro","setembro 2007","70.0","72.2","74.6","78.0","53.2","-","-","59.1","76.5","42.6","50.3","71.6","54.1"
"Rio de Janeiro","outubro 2007","72.4","71.6","74.0","83.9","59.7","-","-","62.6","75.1","40.3","57.1","81.9","61.1"
"Rio de Janeiro","novembro 2007","69.8","73.6","76.0","99.7","62.8","-","-","58.9","59.2","47.8","56.4","78.9","63.4"
"Rio de Janeiro","dezembro 2007","76.4","95.7","99.4","201.5","84.6","-","-","66.6","111.9","52.3","91.7","72.9","59.9"
"Rio de Janeiro","janeiro 2008","73.2","74.2","76.9","72.2","60.6","-","-","64.1","111.7","45.4","57.6","82.7","61.3"
"Rio de Janeiro","fevereiro 2008","68.1","71.6","74.2","65.2","50.1","-","-","55.2","110.9","46.3","51.9","66.7","51.2"
"Rio de Janeiro","março 2008","74.7","79.0","81.8","73.9","56.5","-","-","61.1","90.1","56.9","64.7","80.6","54.9"
"Rio de Janeiro","abril 2008","72.8","73.0","75.4","79.0","58.7","-","-","61.6","78.1","39.2","52.2","83.9","55.2"
"Rio de Janeiro","maio 2008","76.0","77.5","80.2","97.1","64.0","-","-","64.9","78.2","44.5","59.6","77.3","58.3"
"Rio de Janeiro","junho 2008","73.7","72.0","74.5","96.8","57.8","-","-","63.2","73.7","56.3","54.7","81.5","59.4"
"Rio de Janeiro","julho 2008","83.2","75.3","77.9","90.7","61.1","-","-","67.6","75.3","57.2","57.3","87.1","63.3"
"Rio de Janeiro","agosto 2008","84.3","76.1","79.0","86.6","61.1","-","-","66.5","83.9","49.9","58.3","76.8","60.7"
"Rio de Janeiro","setembro 2008","81.3","73.1","75.9","78.6","64.5","-","-","66.9","81.9","60.6","52.2","88.0","59.0"
"Rio de Janeiro","outubro 2008","85.4","76.9","79.9","81.7","71.0","-","-","70.2","83.0","64.0","56.8","69.4","64.9"
"Rio de Janeiro","novembro 2008","81.1","76.2","79.2","84.4","65.0","-","-","67.0","62.2","79.2","57.6","60.4","64.6"
"Rio de Janeiro","dezembro 2008","81.5","98.4","102.5","173.8","100.2","-","-","76.7","117.5","89.0","97.9","65.5","58.1"
"Rio de Janeiro","janeiro 2009","77.4","78.0","80.7","62.4","71.6","-","-","68.3","128.7","57.3","66.4","75.3","55.4"
"Rio de Janeiro","fevereiro 2009","72.7","75.6","78.0","58.1","55.2","-","-","62.0","105.6","46.9","58.8","63.7","49.4"
"Rio de Janeiro","março 2009","79.3","78.6","80.5","69.0","58.9","-","-","69.7","97.4","84.1","68.6","92.0","59.9"
"Rio de Janeiro","abril 2009","74.0","79.8","82.2","66.1","53.4","-","-","67.8","74.2","47.1","64.0","66.8","55.7"
"Rio de Janeiro","maio 2009","76.1","78.6","80.8","78.5","61.7","-","-","70.3","79.0","51.0","69.7","81.9","56.3"
"Rio de Janeiro","junho 2009","72.2","76.0","78.0","81.6","57.7","-","-","69.4","72.6","66.1","64.6","105.0","57.6"
"Rio de Janeiro","julho 2009","74.5","79.1","81.0","79.7","62.2","-","-","76.0","82.1","73.3","67.8","79.5","60.2"
"Rio de Janeiro","agosto 2009","72.7","81.3","83.3","74.5","63.6","-","-","74.6","83.8","74.2","67.7","86.6","62.4"
"Rio de Janeiro","setembro 2009","73.7","79.8","81.6","66.1","68.9","-","-","75.3","84.9","58.0","56.3","105.0","62.2"
"Rio de Janeiro","outubro 2009","80.3","87.2","89.4","77.6","73.3","-","-","75.6","85.3","68.0","63.4","81.7","63.9"
"Rio de Janeiro","novembro 2009","80.4","82.0","83.9","78.2","84.7","-","-","73.9","76.6","91.9","61.2","76.3","68.2"
"Rio de Janeiro","dezembro 2009","85.2","109.9","113.0","160.8","111.7","-","-","81.6","118.5","97.7","95.3","80.6","62.2"
"Rio de Janeiro","janeiro 2010","84.3","85.6","87.5","61.2","83.9","-","-","75.3","126.0","75.3","59.3","82.4","61.0"
"Rio de Janeiro","fevereiro 2010","76.4","84.7","86.2","62.5","67.9","-","-","69.6","114.8","65.5","55.3","71.8","51.5"
"Rio de Janeiro","março 2010","76.1","89.7","90.7","75.5","77.3","-","-","76.7","94.5","74.2","67.5","121.2","65.4"
"Rio de Janeiro","abril 2010","73.4","85.9","86.7","75.5","64.3","-","-","71.0","72.5","82.8","60.1","75.7","60.2"
"Rio de Janeiro","maio 2010","77.5","87.5","88.5","92.5","76.7","-","-","76.8","81.5","58.0","62.1","81.1","65.0"
"Rio de Janeiro","junho 2010","74.1","86.0","87.0","93.7","71.4","-","-","74.9","77.2","73.2","60.9","76.0","62.4"
"Rio de Janeiro","julho 2010","79.4","89.8","90.7","92.3","71.3","-","-","81.0","80.0","66.8","62.5","83.6","76.9"
"Rio de Janeiro","agosto 2010","79.6","89.2","90.2","88.6","74.4","-","-","82.7","94.4","80.2","65.3","89.1","81.7"
"Rio de Janeiro","setembro 2010","79.2","88.7","89.3","82.7","79.0","-","-","79.4","90.7","82.5","68.0","88.8","78.8"
"Rio de Janeiro","outubro 2010","82.4","94.5","95.9","90.9","87.0","-","-","78.9","92.3","70.2","71.7","89.9","79.5"
"Rio de Janeiro","novembro 2010","77.5","88.2","89.2","89.9","98.4","-","-","78.0","86.8","71.3","70.7","98.4","91.0"
"Rio de Janeiro","dezembro 2010","88.8","117.3","119.8","185.8","138.4","-","-","89.4","145.8","86.7","107.4","97.6","85.6"
"Rio de Janeiro","janeiro 2011","83.1","90.3","91.5","74.6","101.8","100.1","104.5","77.1","150.1","58.3","66.3","92.2","81.1"
"Rio de Janeiro","fevereiro 2011","79.7","86.2","86.9","75.0","86.7","85.4","87.4","74.3","133.0","62.0","67.3","96.9","76.4"
"Rio de Janeiro","março 2011","78.0","93.4","94.0","79.6","82.1","96.2","82.1","80.2","92.3","65.7","69.8","86.0","79.3"
"Rio de Janeiro","abril 2011","77.6","95.1","96.9","79.3","83.7","94.8","81.1","79.1","77.7","62.2","72.7","87.2","75.7"
"Rio de Janeiro","maio 2011","74.2","89.1","90.2","101.1","98.4","107.3","93.2","83.5","82.4","75.8","71.7","95.6","81.8"
"Rio de Janeiro","junho 2011","73.7","87.3","88.3","100.2","84.0","106.3","79.8","81.8","70.8","71.0","67.0","92.3","82.9"
"Rio de Janeiro","julho 2011","77.3","91.8","93.0","94.9","90.1","104.8","87.3","83.4","79.4","72.4","67.5","93.9","83.8"
"Rio de Janeiro","agosto 2011","79.6","90.1","90.9","88.7","96.2","111.8","92.7","86.1","91.8","77.9","71.0","94.7","91.9"
"Rio de Janeiro","setembro 2011","76.8","89.0","90.1","86.1","98.3","111.3","93.7","84.9","87.4","71.8","65.9","90.9","85.1"
"Rio de Janeiro","outubro 2011","80.8","95.2","96.8","92.2","97.7","108.4","94.2","83.8","92.5","78.4","72.0","83.7","85.4"
"Rio de Janeiro","novembro 2011","80.2","90.6","91.8","98.6","110.7","122.9","106.8","82.8","96.4","76.9","73.4","92.2","96.9"
"Rio de Janeiro","dezembro 2011","86.9","118.2","120.5","190.7","151.6","168.9","148.0","91.1","143.6","117.4","105.8","94.4","86.5"
"Rio de Janeiro","janeiro 2012","82.2","87.1","89.2","74.9","120.6","131.5","115.4","83.5","155.4","76.8","67.6","91.5","87.7"
"Rio de Janeiro","fevereiro 2012","84.3","90.0","92.1","73.1","92.5","106.0","86.9","77.6","131.5","58.9","65.1","76.8","73.0"
"Rio de Janeiro","março 2012","90.3","94.2","95.9","84.6","107.8","120.3","101.8","88.0","104.0","70.8","74.9","91.6","86.6"
"Rio de Janeiro","abril 2012","85.8","91.7","92.7","77.9","91.8","104.6","86.0","82.8","78.5","75.0","69.9","79.0","83.1"
"Rio de Janeiro","maio 2012","85.6","90.8","91.3","104.1","99.1","110.4","93.8","88.9","90.2","67.3","70.7","90.0","92.2"
"Rio de Janeiro","junho 2012","87.8","90.0","91.5","104.3","93.0","106.0","86.9","87.6","83.8","71.5","70.6","104.3","91.0"
"Rio de Janeiro","julho 2012","92.2","91.5","93.0","102.8","96.7","104.9","92.0","93.9","80.8","93.4","67.9","100.2","97.0"
"Rio de Janeiro","agosto 2012","93.9","93.1","94.9","97.8","100.0","110.7","94.8","97.8","93.5","87.8","74.5","116.7","98.1"
"Rio de Janeiro","setembro 2012","96.2","90.6","92.9","90.4","93.4","100.9","89.3","89.3","83.2","80.5","71.5","77.7","96.9"
"Rio de Janeiro","outubro 2012","98.9","95.3","97.8","94.8","102.6","111.7","97.5","91.7","92.8","103.5","79.7","103.0","106.4"
